payment_id,latitude,longitude,town,country
5443a173-4602-49b7-aeae-033495a8bc66,57.14369,-1.29772,High Wycombe,GB
189c8456-fb82-44d4-9b67-8874d282404c,57.47908,-2.52398,Great Wyrley,GB
e1da9b02-47aa-451b-ae63-bc74c80554eb,51.64316,0.30367,Rutherglen,GB
04678863-dca6-4539-8746-53814355f043,56.56317,0.30367,Penzance,GB
35843e6b-7255-4b12-9e68-2b3192fd4de9,51.62907,-1.29772,Rutherglen,GB
a3c5d18f-2b75-4fc8-b434-6c25488334a4,53.49389,-0.91979,Inverness,GB
43d50f75-56f9-407c-8808-9ccd3749413d,53.00974,-2.09814,Arbroath,GB
313458f5-9121-4cc8-a242-84206619f7b8,51.38673,0.30367,Penzance,GB
306ac769-a2e0-407f-8c55-26a4e3f2494d,52.48173,-4.0573,Barnet,GB
85929435-fe84-4064-a0bf-83872303230f,50.11861,-1.29772,Inverness,GB
c7904876-6656-4b6a-8f60-fffc34b98d42,50.76306,-1.08593,Walton-on-the-Naze,GB
bdca8bcb-902b-47df-ab29-356723088d13,53.49389,-0.74934,Rutherglen,GB
4764a44a-5d9f-4a6f-adae-e4217f9d413b,51.26,-0.36053,Cowes,GB
c5dd882c-024b-4333-8952-cdc3524ed651,52.68333,-3.05814,Arbroath,GB
b1406d05-697e-4ae1-9396-32d22b275898,51.62907,-4.0573,Exeter,GB
d2b7bed1-299b-41de-b7b7-1e2601f8191f,51.64316,-0.74934,Blackpool,GB
b9de0787-65f2-4bbd-ab20-410b8cb40caf,50.11861,-5.53715,Inverness,GB
b3596a89-5692-44d5-b954-b253678bc8c3,51.62907,0.47713,Walton-on-the-Naze,GB
110c95e0-bc62-4402-ad34-eaf6efb9db64,53.0233,-5.53715,Aberdeen,GB
b43a40bd-3148-41b9-9df8-5005e5d1359f,51.42708,-0.33525,Kingston upon Hull,GB
873b5419-c427-4a77-a463-3387d9fcc49c,56.56317,-0.74934,Rutherglen,GB
32212779-083f-4389-949e-fcc5d5587ca3,53.46506,1.15597,Exeter,GB
4cc8d05d-91f8-4a23-9722-4f09035c6112,53.38333,0.93333,Kingston upon Hull,GB
eb7ce66b-92bf-4471-95e6-4412d923c949,52.68333,-0.91979,High Wycombe,GB
7be5dfa8-3659-4fe4-b761-6bcf548be3b1,53.69786,-0.2,Lancing,GB
29c966d4-c43d-4d58-a575-34d984a12846,57.14369,-2.58736,Brierley Hill,GB
6e74e66a-996e-4d95-afcb-96e25eec16a4,50.7236,0.75,Strood,GB
072723b2-fb08-4563-aaf9-620f8b4da417,51.65,-2.58736,Newbury,GB
a2399725-54cb-43ff-b246-8e8730395e3b,53.69786,-0.32247,Devizes,GB
acae240d-4924-4124-9d85-50f557f14142,51.35084,-0.2,Blackpool,GB
61eda554-4b8f-47c5-b032-3969a525c01e,50.75767,-0.33525,Westbury,GB
2c0386c8-1e16-478f-8dba-3a09b88758e9,50.82882,-0.36053,Brierley Hill,GB
ec28518c-3873-45c3-9d95-c249baba4513,53.49389,1.15597,Mexborough,GB
b5c6109b-8f1a-47a6-a555-45cf0f83813f,52.41667,-1.47217,Kingston upon Hull,GB
b2328fb0-d1fc-44c7-b102-e45b39e34863,53.81667,1.26738,Rutherglen,GB
ef7e9cfc-84b7-48b3-a662-96776634b644,57.14369,-1.32471,Lancing,GB
1aecbf4d-40bb-4af2-b27b-308fe5a69e47,51.26,-1.32471,Lymington,GB
b361f534-2d9f-4276-b313-12f13f33a27e,53.46506,-0.29825,Lancing,GB
68820847-1171-4d07-bfac-60af206553a1,53.49389,-1.08593,Newbury,GB
78cddd99-54ec-48af-ad66-760c532e7082,57.14369,0.30367,Poulton-le-Fylde,GB
604175a8-cce7-491d-ba4e-e8375022defb,51.39148,-0.33525,Thetford,GB
2735e3f8-29c5-40ba-b86c-efc3e7759537,51.64316,-2.58736,Inverness,GB
e28f2a57-6b45-4c61-aab5-c8ade7ce455c,51.40148,-2.1875,Belper,GB
7f1d84e9-d5ba-4537-a2a2-3258f9e4b82b,51.39323,-0.32247,Blackpool,GB
bfc2687a-d3d4-4afb-ad3f-dd81f2819a8d,53.00974,-4.21376,High Wycombe,GB
06b40547-5483-44c3-a235-684d23b2c1b2,51.78967,1.26738,Walton-on-the-Naze,GB
9a80ef94-8b61-4b51-b3fd-e0aef0571f71,50.79205,-2.68758,Leyland,GB
d3e269f1-10ac-4a80-8024-c31ec50b5dc5,50.7236,-1.32471,Walton-on-the-Naze,GB
a48183d7-7958-47a9-b23f-a6ef51be0205,55.82737,-0.2,Brierley Hill,GB
631c2822-eeb3-4d22-b914-8f629c9f8560,51.38673,1.26738,Viewpark,GB
ca121ca5-dcd1-49ec-8314-cf4ddbd79216,51.40148,-5.53715,Strood,GB
28620789-6bef-4121-bc16-d364fc32d7bc,56.56317,-1.08593,Great Wyrley,GB
3aa8e9a4-2443-48b2-8b97-62bfa8af1048,55.82885,0.30367,Barnet,GB
c5494e81-f5c9-4714-8e81-75250df95640,51.65,-1.29243,Walton-on-the-Naze,GB
43e09a6c-fc1e-4dac-bed0-202239f2ee7a,51.42708,-0.36053,Viewpark,GB
b6f22510-7f29-4b87-834d-31dc59551458,51.42708,-3.05,Clacton-on-Sea,GB
1f57e64e-0bd9-40c6-81db-a88c2af76a89,53.46506,-4.22398,Penzance,GB
1d3e5458-5d50-4560-9550-bc3bf857f323,53.00974,1.26738,Barnet,GB
084b7c96-6be4-4465-b7f7-cd6dd7a6433a,50.75767,-2.09814,Lower Earley,GB
5ff40b8e-ded0-4c09-83c7-f33a5a4b6157,50.79205,-2.1875,Exeter,GB
0b898cae-3df3-4e6c-91ec-729fb0f80d9b,51.38673,-2.58736,Southsea,GB
d3c1a197-c107-4f6a-b3bb-3ae2d92e3115,51.64316,-0.33525,Hartley,GB
df5419a5-3744-4400-9cce-13c0a9b94a64,52.41667,-2.09814,Leyland,GB
d4176021-994c-4b61-9cce-bca44c4e2e16,52.41667,-1.5443,Selby,GB
16d90c80-131c-4dbd-bc88-ba3aed4a3c92,52.68333,-2.58736,Devizes,GB
bda732bd-ef74-4a79-a92f-4492c0e7de64,56.56317,-2.09814,Great Wyrley,GB
59d1e92a-db80-4fd9-bd6d-f014a7489d4a,51.39148,-2.09814,Westbury,GB
